query_name,method,discount_low,discount_high,quantity_threshold,run_id,time_sec,result
very_narrow,scan,0.05,0.051,24,1,0.02350473403930664,226203043.5880
very_narrow,bitmap,0.05,0.051,24,1,0.053318023681640625,226203043.58800003
very_narrow,rabit_like,0.05,0.051,24,1,0.05079221725463867,226203043.58800003
very_narrow,scan,0.05,0.051,24,2,0.004952669143676758,226203043.5880
very_narrow,bitmap,0.05,0.051,24,2,0.05247378349304199,226203043.58800003
very_narrow,rabit_like,0.05,0.051,24,2,0.050730228424072266,226203043.58800003
very_narrow,scan,0.05,0.051,24,3,0.003901958465576172,226203043.5880
very_narrow,bitmap,0.05,0.051,24,3,0.05173134803771973,226203043.58800003
very_narrow,rabit_like,0.05,0.051,24,3,0.050618886947631836,226203043.58800003
very_narrow,scan,0.05,0.051,24,4,0.003411531448364258,226203043.5880
very_narrow,bitmap,0.05,0.051,24,4,0.05098891258239746,226203043.58800003
very_narrow,rabit_like,0.05,0.051,24,4,0.05038785934448242,226203043.58800003
very_narrow,scan,0.05,0.051,24,5,0.003576993942260742,226203043.5880
very_narrow,bitmap,0.05,0.051,24,5,0.05101943016052246,226203043.58800003
very_narrow,rabit_like,0.05,0.051,24,5,0.05100202560424805,226203043.58800003
narrow,scan,0.05,0.055,24,1,0.007832050323486328,226203043.5880
narrow,bitmap,0.05,0.055,24,1,0.05423736572265625,226203043.58800003
narrow,rabit_like,0.05,0.055,24,1,0.05073714256286621,226203043.58800003
narrow,scan,0.05,0.055,24,2,0.007304668426513672,226203043.5880
narrow,bitmap,0.05,0.055,24,2,0.05209493637084961,226203043.58800003
narrow,rabit_like,0.05,0.055,24,2,0.050710201263427734,226203043.58800003
narrow,scan,0.05,0.055,24,3,0.004770517349243164,226203043.5880
narrow,bitmap,0.05,0.055,24,3,0.05094623565673828,226203043.58800003
narrow,rabit_like,0.05,0.055,24,3,0.05075550079345703,226203043.58800003
narrow,scan,0.05,0.055,24,4,0.004011631011962891,226203043.5880
narrow,bitmap,0.05,0.055,24,4,0.051110029220581055,226203043.58800003
narrow,rabit_like,0.05,0.055,24,4,0.050560712814331055,226203043.58800003
narrow,scan,0.05,0.055,24,5,0.003490447998046875,226203043.5880
narrow,bitmap,0.05,0.055,24,5,0.050859928131103516,226203043.58800003
narrow,rabit_like,0.05,0.055,24,5,0.05078601837158203,226203043.58800003
medium,scan,0.05,0.07,24,1,0.0054666996002197266,812252733.6786
medium,bitmap,0.05,0.07,24,1,0.06386137008666992,812252733.6786001
medium,rabit_like,0.05,0.07,24,1,0.06300473213195801,812252733.6786001
medium,scan,0.05,0.07,24,2,0.005049943923950195,812252733.6786
medium,bitmap,0.05,0.07,24,2,0.06326127052307129,812252733.6786001
medium,rabit_like,0.05,0.07,24,2,0.06240725517272949,812252733.6786001
medium,scan,0.05,0.07,24,3,0.004415750503540039,812252733.6786
medium,bitmap,0.05,0.07,24,3,0.06302905082702637,812252733.6786001
medium,rabit_like,0.05,0.07,24,3,0.06384873390197754,812252733.6786001
medium,scan,0.05,0.07,24,4,0.0035517215728759766,812252733.6786
medium,bitmap,0.05,0.07,24,4,0.06275296211242676,812252733.6786001
medium,rabit_like,0.05,0.07,24,4,0.06260013580322266,812252733.6786001
medium,scan,0.05,0.07,24,5,0.0034542083740234375,812252733.6786
medium,bitmap,0.05,0.07,24,5,0.0627894401550293,812252733.6786001
medium,rabit_like,0.05,0.07,24,5,0.06256794929504395,812252733.6786001
wide,scan,0.01,0.09,24,1,0.005950450897216797,2031173256.3093
wide,bitmap,0.01,0.09,24,1,0.09801101684570312,2031173256.3092992
wide,rabit_like,0.01,0.09,24,1,0.09435319900512695,2031173256.3092992
wide,scan,0.01,0.09,24,2,0.005540609359741211,2031173256.3093
wide,bitmap,0.01,0.09,24,2,0.09414935111999512,2031173256.3092992
wide,rabit_like,0.01,0.09,24,2,0.09336280822753906,2031173256.3092992
wide,scan,0.01,0.09,24,3,0.004669189453125,2031173256.3093
wide,bitmap,0.01,0.09,24,3,0.09394526481628418,2031173256.3092992
wide,rabit_like,0.01,0.09,24,3,0.09373283386230469,2031173256.3092992
wide,scan,0.01,0.09,24,4,0.003789663314819336,2031173256.3093
wide,bitmap,0.01,0.09,24,4,0.09643769264221191,2031173256.3092992
wide,rabit_like,0.01,0.09,24,4,0.10477137565612793,2031173256.3092992
wide,scan,0.01,0.09,24,5,0.00334930419921875,2031173256.3093
wide,bitmap,0.01,0.09,24,5,0.09292125701904297,2031173256.3092992
wide,rabit_like,0.01,0.09,24,5,0.09452176094055176,2031173256.3092992
