layout,selectivity,bitmap,rabit_like,scan,bitmap_over_rabit_speedup
Block-Sorted,0.1,0.0140008131663004,0.0073795318603515,0.0013593832651774,1.8972
Block-Sorted,1.0,0.0127865473429361,0.007318099339803,0.0015958150227864,1.7472
Block-Sorted,5.0,0.0143879254659016,0.0076037247975667,0.0019194285074869,1.8922
Block-Sorted,10.0,0.0151560306549072,0.0075155893961588,0.0019712448120117,2.0166
Block-Sorted,20.0,0.0129984219868977,0.0075201988220214,0.0019520918528238,1.7285
Block-Sorted,30.0,0.0128713448842366,0.0073955059051513,0.0017650127410888,1.7404
Block-Sorted,40.0,0.0127730369567871,0.0073976516723632,0.0022799173990885,1.7266
Block-Sorted,50.0,0.0132617155710856,0.0073523521423339,0.0025797684987386,1.8037
Block-Sorted,60.0,0.0127371152242024,0.0074617862701416,0.0027319590250651,1.707
Block-Sorted,70.0,0.0135643482208251,0.0081032117207845,0.003115971883138,1.6739
Block-Sorted,80.0,0.0130879878997802,0.0075982411702473,0.0026171207427978,1.7225
Block-Sorted,90.0,0.0133058230082194,0.0064864158630371,0.003666877746582,2.0513
Random,0.1,0.0140065352121988,0.0072964827219645,0.0055723190307617,1.9196
Random,1.0,0.0129624207814534,0.0072941780090332,0.0047340393066406,1.7771
Random,5.0,0.0133229891459147,0.0077738761901855,0.0052428245544433,1.7138
Random,10.0,0.021939992904663,0.0081512928009033,0.0077173709869384,2.6916
Random,20.0,0.0133250554402669,0.0077216625213623,0.0045934518178304,1.7257
Random,30.0,0.0134105682373046,0.0080216725667317,0.0051120122273763,1.6718
Random,40.0,0.0132269859313964,0.0076688130696614,0.0048434734344482,1.7248
Random,50.0,0.0132375558217366,0.007669448852539,0.0047976970672607,1.726
Random,60.0,0.0132181644439697,0.007587194442749,0.0048708120981852,1.7422
Random,70.0,0.0175059636433919,0.0086506207784016,0.0043360392252604,2.0237
Random,80.0,0.0147224267323811,0.0077510674794514,0.0058801968892415,1.8994
Random,90.0,0.0131255785624186,0.0066051483154296,0.0044118563334147,1.9872
Sorted,0.1,0.0140976111094156,0.0073866844177246,0.0014249483744303,1.9085
Sorted,1.0,0.0127585728963216,0.0074916680653889,0.0013969739278157,1.703
Sorted,5.0,0.0128946304321289,0.007402499516805,0.0012206236521402,1.7419
Sorted,10.0,0.0127789974212646,0.0073609352111816,0.0019996166229248,1.7361
Sorted,20.0,0.0138048330942789,0.0074444611867268,0.0020607312520345,1.8544
Sorted,30.0,0.0140228271484375,0.0073889891306559,0.0020240942637125,1.8978
Sorted,40.0,0.0127089023590087,0.0073638757069905,0.002282698949178,1.7258
Sorted,50.0,0.0132536093393961,0.0075186888376871,0.0023952325185139,1.7628
Sorted,60.0,0.013271411259969,0.0073350270589192,0.0025515556335449,1.8093
Sorted,70.0,0.0132668018341064,0.0076935291290283,0.003335158030192,1.7244
Sorted,80.0,0.0127135117848714,0.0073365370432535,0.002915620803833,1.7329
Sorted,90.0,0.0126814842224121,0.0065553983052571,0.0026714007059733,1.9345
