layout,selectivity,scan,bitmap,rabit_like
Block-Sorted,0.1,0.001359,0.014001,0.00738
Block-Sorted,1.0,0.001596,0.012787,0.007318
Block-Sorted,5.0,0.001919,0.014388,0.007604
Block-Sorted,10.0,0.001971,0.015156,0.007516
Block-Sorted,20.0,0.001952,0.012998,0.00752
Block-Sorted,30.0,0.001765,0.012871,0.007396
Block-Sorted,40.0,0.00228,0.012773,0.007398
Block-Sorted,50.0,0.00258,0.013262,0.007352
Block-Sorted,60.0,0.002732,0.012737,0.007462
Block-Sorted,70.0,0.003116,0.013564,0.008103
Block-Sorted,80.0,0.002617,0.013088,0.007598
Block-Sorted,90.0,0.003667,0.013306,0.006486
Random,0.1,0.005572,0.014007,0.007296
Random,1.0,0.004734,0.012962,0.007294
Random,5.0,0.005243,0.013323,0.007774
Random,10.0,0.007717,0.02194,0.008151
Random,20.0,0.004593,0.013325,0.007722
Random,30.0,0.005112,0.013411,0.008022
Random,40.0,0.004843,0.013227,0.007669
Random,50.0,0.004798,0.013238,0.007669
Random,60.0,0.004871,0.013218,0.007587
Random,70.0,0.004336,0.017506,0.008651
Random,80.0,0.00588,0.014722,0.007751
Random,90.0,0.004412,0.013126,0.006605
Sorted,0.1,0.001425,0.014098,0.007387
Sorted,1.0,0.001397,0.012759,0.007492
Sorted,5.0,0.001221,0.012895,0.007402
Sorted,10.0,0.002,0.012779,0.007361
Sorted,20.0,0.002061,0.013805,0.007444
Sorted,30.0,0.002024,0.014023,0.007389
Sorted,40.0,0.002283,0.012709,0.007364
Sorted,50.0,0.002395,0.013254,0.007519
Sorted,60.0,0.002552,0.013271,0.007335
Sorted,70.0,0.003335,0.013267,0.007694
Sorted,80.0,0.002916,0.012714,0.007337
Sorted,90.0,0.002671,0.012681,0.006555
