query_name,query_type,method,quantity_value,run_id,time_sec,result
q_eq_20,point,scan,20,1,0.01659250259399414,179680158.9740
q_eq_20,point,bitmap,20,1,0.019528627395629883,179680158.97399998
q_eq_20,point,scan,20,2,0.003912448883056641,179680158.9740
q_eq_20,point,bitmap,20,2,0.016051292419433594,179680158.97399998
q_eq_20,point,scan,20,3,0.0034275054931640625,179680158.9740
q_eq_20,point,bitmap,20,3,0.01598334312438965,179680158.97399998
q_eq_20,point,scan,20,4,0.0032901763916015625,179680158.9740
q_eq_20,point,bitmap,20,4,0.01595306396484375,179680158.97399998
q_eq_20,point,scan,20,5,0.0032694339752197266,179680158.9740
q_eq_20,point,bitmap,20,5,0.015836477279663086,179680158.97399998
q_eq_24,point,scan,24,1,0.004187107086181641,215500795.4688
q_eq_24,point,bitmap,24,1,0.01622486114501953,215500795.4688
q_eq_24,point,scan,24,2,0.004102945327758789,215500795.4688
q_eq_24,point,bitmap,24,2,0.016005516052246094,215500795.4688
q_eq_24,point,scan,24,3,0.004019498825073242,215500795.4688
q_eq_24,point,bitmap,24,3,0.015867948532104492,215500795.4688
q_eq_24,point,scan,24,4,0.003876209259033203,215500795.4688
q_eq_24,point,bitmap,24,4,0.01585555076599121,215500795.4688
q_eq_24,point,scan,24,5,0.003166675567626953,215500795.4688
q_eq_24,point,bitmap,24,5,0.015850543975830078,215500795.4688
q_eq_30,point,scan,30,1,0.004166603088378906,268951131.5910
q_eq_30,point,bitmap,30,1,0.016155242919921875,268951131.59099996
q_eq_30,point,scan,30,2,0.003992319107055664,268951131.5910
q_eq_30,point,bitmap,30,2,0.01574993133544922,268951131.59099996
q_eq_30,point,scan,30,3,0.003816843032836914,268951131.5910
q_eq_30,point,bitmap,30,3,0.01567530632019043,268951131.59099996
q_eq_30,point,scan,30,4,0.003589153289794922,268951131.5910
q_eq_30,point,bitmap,30,4,0.01569056510925293,268951131.59099996
q_eq_30,point,scan,30,5,0.0034275054931640625,268951131.5910
q_eq_30,point,bitmap,30,5,0.015622138977050781,268951131.59099996
q_eq_40,point,scan,40,1,0.004106998443603516,358739183.8360
q_eq_40,point,bitmap,40,1,0.015980243682861328,358739183.83599997
q_eq_40,point,scan,40,2,0.003988742828369141,358739183.8360
q_eq_40,point,bitmap,40,2,0.015690326690673828,358739183.83599997
q_eq_40,point,scan,40,3,0.003862619400024414,358739183.8360
q_eq_40,point,bitmap,40,3,0.015583515167236328,358739183.83599997
q_eq_40,point,scan,40,4,0.0036919116973876953,358739183.8360
q_eq_40,point,bitmap,40,4,0.015606880187988281,358739183.83599997
q_eq_40,point,scan,40,5,0.003081083297729492,358739183.8360
q_eq_40,point,bitmap,40,5,0.015594720840454102,358739183.83599997
